rank,channel_index,channel_name,score
1,13,CP3,7.242048263549805
2,7,C3,5.147599220275879
3,17,CP4,4.936301231384277
4,2,FC1,4.373974323272705
5,1,FC3,4.3325395584106445
6,3,FCz,4.267932891845703
7,11,C4,4.2293291091918945
8,0,Fz,4.186827659606934
9,18,P1,3.7587294578552246
10,4,FC2,3.509552001953125
11,8,C1,3.0091471672058105
12,12,C6,2.932859420776367
13,10,C2,2.927795648574829
14,6,C5,2.8035144805908203
15,9,Cz,2.78340220451355
16,14,CP1,2.4698715209960938
17,5,FC4,2.3759377002716064
18,16,CP2,2.180851697921753
19,20,P2,2.1673130989074707
20,21,POz,1.8941949605941772
21,19,Pz,1.789931297302246
22,15,CPz,1.4202340841293335
